Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_71079,21325637,SA_BST_A_TF_71079_Eunos Link_Comfort Driving Ctr,1.33547,103.89835,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_71079_A,SA_BST_71079_A,Kampong Ubi,10,All / Universal,Yes,No,408651,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_70271,21325638,SA_BST_A_TF_70271_Paya Lebar Rd_Le Crescendo,1.33071,103.88926,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_70271_A,SA_BST_70271_A,Macpherson,10,All / Universal,Yes,No,409045,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_67591,21325641,"SA_BST_A_TF_67591_Sengkang East Rd_Blk 286b, Sengkang East Rd",1.39797,103.89543,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_67591_A,SA_BST_67591_A,Sengkang Town Centre,10,All / Universal,Yes,No,542286,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_59419,21325643,SA_BST_A_TF_59419_Yishun Ring Rd_Blk 413,1.42536,103.84606,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_59419_A,SA_BST_59419_A,Yishun East,10,All / Universal,Yes,No,760413,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_4229,21325645,SA_BST_A_TF_4229_Hill St_High St Ctr,1.29044,103.84876,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4229_A,SA_BST_4229_A,City Hall,10,All / Universal,Yes,No,179094,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_75081,21325646,SA_BST_C_TF_75081_Tampines Ave 3_Blk 831,1.34986,103.93426,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_75081_C,SA_BST_75081_C,Tampines West,10,All / Universal,Yes,No,520827,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_59469,21325647,SA_BST_C_TF_59469_Yishun Ave 11_Blk 419,1.42357,103.84748,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_59469_C,SA_BST_59469_C,Yishun East,10,All / Universal,Yes,No,760419,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_54289,21325648,SA_BST_A_TF_54289_Ang Mo Kio Ave 3_Blk 452,1.36914,103.85598,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_54289_A,SA_BST_54289_A,Chong Boon,10,All / Universal,Yes,No,560452,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_67671,21359215,"SA_BST_A_TF_67671_Rivervale Cresent_Blk 156a Cp, Rivervale Cres",1.39194,103.90707,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_67671_A,SA_BST_67671_A,Rivervale,10,All / Universal,Yes,No,541156,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A-Parallel_TF_65199,21359217,SA_BST_A-Parallel_TF_65199_TPE_Aft Punggol Rd,1.39574,103.90568,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_65199_A-Parallel,SA_BST_65199_A-Parallel,Punggol Field,10,All / Universal,Yes,No,820118,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_70231,21359221,SA_BST_C_TF_70231_Mattar Rd_OPP MATTAR STN EXIT B,1.32622,103.88404,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_70231_C,SA_BST_70231_C,Macpherson,10,All / Universal,Yes,No,387731,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_47521,21359222,SA_BST_C_TF_47521_Woodlands Dr 16_Opp Blk 575,1.43165,103.79813,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_47521_C,SA_BST_47521_C,Woodlands South,10,All / Universal,Yes,No,737899,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_6071,21359226,SA_BST_A_TF_6071_Zion Rd_HAVELOCK STN EXIT 2,1.28689,103.83344,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_6071_A,SA_BST_6071_A,Tiong Bahru,10,All / Universal,Yes,No,165002,Singapore
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_59391,21359227,SA_BST_C_TF_59391_Yishun Ring Rd_Blk 342B,1.43021,103.84523,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_59391_C,SA_BST_59391_C,Yishun East,10,All / Universal,Yes,No,762342,Singapore
