Venue Info,Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDMCW001,21285681,"108"" Concourse Digital Landscape - Hung Hom - HUHDMCW001",22.30294,114.181944,1920,1080,1,1920x1080,16:09,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDMCW002,21285682,"108"" Concourse Digital Landscape - Hung Hom - HUHDMCW002 (Audio Allowed)",22.30294,114.181944,1920,1080,1,1920x1080,16:09,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDMCW003,21285683,"108"" Concourse Digital Landscape - Hung Hom - HUHDMCW003 (Audio Allowed)",22.30294,114.181944,1920,1080,1,1920x1080,16:09,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDMCW004,21285684,"108"" Concourse Digital Landscape - Hung Hom - HUHDMCW004",22.30294,114.181944,1920,1080,1,1920x1080,16:09,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KATDMCW001,21285685,"108"" Concourse Digital Landscape - Kai Tak - KATDMCW001 (Audio Allowed)",22.330808,114.199608,1920,1080,1,1920x1080,16:09,,Kai Tak - KAT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KATDMCW002,21285686,"108"" Concourse Digital Landscape - Kai Tak - KATDMCW002",22.330808,114.199608,1920,1080,1,1920x1080,16:09,,Kai Tak - KAT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KOTDMCW001,21285687,"110"" Concourse Digital Landscape - Kowloon Tong - KOTDMCW001 (Audio Allowed)",22.337188,114.176094,1920,1080,1,1920x1080,16:09,,Kowloon Tong - KOT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KOTDMCW002,21285688,"110"" Concourse Digital Landscape - Kowloon Tong - KOTDMCW002 (Audio Allowed)",22.337188,114.176094,1920,1080,1,1920x1080,16:09,,Kowloon Tong - KOT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,KOTDMCW003,21285689,"108"" Concourse Digital Landscape - Kowloon Tong - KOTDMCW003",22.337188,114.176094,1920,1080,1,1920x1080,16:09,,Kowloon Tong - KOT,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,ADMDMPW701,21285716,"98"" Trackside Digital Landscape - Admiralty - ADMDMPW701 (Audio Allowed)",22.278054,114.165162,1920,1080,1,1920x1080,16:09,,Admiralty - ADM,Central and Western,Hong Kong Island,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,ADMDMPW702,21285717,"98"" Trackside Digital Landscape - Admiralty - ADMDMPW702 (Audio Allowed)",22.278054,114.165162,1920,1080,1,1920x1080,16:09,,Admiralty - ADM,Central and Western,Hong Kong Island,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,EXCDMPW101,21285722,"98"" Trackside Digital Landscape - Exhibition Center - EXCDMPW101 (Audio Allowed)",22.281914,114.174771,1920,1080,1,1920x1080,16:09,,Exhibition Center - EXC,Wan Chai,Hong Kong Island,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,EXCDMPW102,21285723,"98"" Trackside Digital Landscape - Exhibition Center - EXCDMPW102 (Audio Allowed)",22.281914,114.174771,1920,1080,1,1920x1080,16:09,,Exhibition Center - EXC,Wan Chai,Hong Kong Island,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,EXCDMPW201,21285724,"98"" Trackside Digital Landscape - Exhibition Center - EXCDMPW201 (Audio Allowed)",22.281914,114.174771,1920,1080,1,1920x1080,16:09,,Exhibition Center - EXC,Wan Chai,Hong Kong Island,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,EXCDMPW202,21285725,"98"" Trackside Digital Landscape - Exhibition Center - EXCDMPW202 (Audio Allowed)",22.281914,114.174771,1920,1080,1,1920x1080,16:09,,Exhibition Center - EXC,Wan Chai,Hong Kong Island,15,All / Universal,No,Yes,,Hong Kong
JCD HKM Network,Digital Portrait Network,JCDecaux - HKM,SHWDPC001A,SHWDPC001A,SHWDPC001A,22.28637,114.152763,1080,1920,1,1080x1920,09:16,,Sheung Wan_SHWDPC001A,Sheung Wan,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
